VISDATA
42
0 0
1 26  3 11 12 6 10 14 8 5 31 28 32 30 33 17 19 18 20 24 22 23 25 39 36 37 38 41 
2 0
3 26  1 11 10 12 8 14 31 28 32 30 33 17 19 18 20 5 22 24 6 23 25 37 39 38 36 41 
4 0
5 26  11 10 8 12 14 1 31 28 32 30 33 17 19 18 6 20 3 22 24 23 25 39 37 38 36 41 
6 26  11 8 10 12 1 14 31 28 32 30 33 17 19 18 5 20 22 24 3 23 25 37 38 36 39 41 
7 0
8 26  3 6 14 5 1 18 19 20 17 12 22 23 11 24 31 28 25 32 30 10 33 36 39 38 37 41 
9 0
10 26  3 6 1 5 14 18 19 20 17 22 23 24 25 12 28 31 32 30 8 33 11 36 39 37 38 41 
11 26  3 14 6 1 5 18 19 20 17 22 8 23 24 25 12 31 28 32 30 33 10 39 36 37 38 41 
12 26  3 1 6 5 18 19 20 17 8 22 23 14 24 10 25 11 28 31 32 30 33 39 36 37 38 41 
13 0
14 26  11 8 3 1 6 10 5 18 19 20 17 22 12 23 24 25 28 31 32 30 33 39 37 38 36 41 
15 0
16 0
17 26  8 11 12 23 10 24 14 22 25 20 6 3 5 1 19 36 38 39 37 18 41 30 28 31 32 33 
18 26  11 8 12 23 24 22 14 10 25 20 6 3 5 1 36 19 39 38 37 17 41 28 31 30 32 33 
19 26  23 11 8 12 24 25 22 14 10 20 3 6 1 5 17 18 39 36 38 37 28 31 30 32 41 33 
20 26  23 11 25 24 22 8 12 14 10 19 17 18 3 6 1 5 36 39 37 38 28 41 30 31 32 33 
21 0
22 26  25 19 18 20 17 23 36 38 37 8 39 11 10 12 14 24 5 6 3 1 41 28 31 33 32 30 
23 26  19 25 20 18 17 22 36 38 39 37 10 8 12 11 14 24 41 5 1 6 3 28 31 33 30 32 
24 26  19 18 20 17 25 36 38 37 39 10 8 12 11 22 14 23 41 5 1 6 3 28 31 33 30 32 
25 26  22 23 19 20 18 17 24 10 36 38 39 37 12 8 11 14 6 1 3 5 41 28 31 33 30 32 
26 0
27 0
28 25  30 6 3 5 1 8 31 10 11 12 14 17 32 18 19 33 20 22 24 23 25 36 38 37 39 
29 0
30 25  31 28 32 33 6 5 3 1 8 10 11 12 14 17 18 19 20 22 24 23 25 36 38 37 39 
31 25  30 6 3 5 1 32 33 8 28 10 11 12 14 17 19 18 20 22 24 23 25 36 38 37 39 
32 25  30 6 5 3 1 31 8 10 11 12 14 33 28 17 18 19 20 22 24 23 25 36 38 37 39 
33 25  30 6 5 3 1 31 8 10 11 12 32 14 28 19 20 17 18 22 24 23 25 36 38 37 39 
34 0
35 0
36 26  39 22 24 23 25 41 17 18 19 20 37 10 38 11 12 8 14 1 5 3 6 31 33 28 32 30 
37 26  39 22 24 23 25 41 17 18 19 36 20 38 11 12 8 10 14 5 3 6 1 31 33 28 32 30 
38 26  39 22 24 23 25 41 17 18 19 20 37 36 11 12 8 10 14 5 3 6 1 31 33 28 32 30 
39 26  38 36 37 22 23 24 25 41 17 18 19 20 10 11 12 8 14 1 5 3 6 31 33 28 32 30 
40 0
41 21  39 36 37 38 23 24 22 18 17 25 19 20 10 11 12 8 14 1 3 6 5 
